index,id,name,description,group_id,group_description
43,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.02,AMD
44,QIT-07,Blinding of participants and personnel (performance bias),Performance bias due to knowledge of the allocated interventions by participants and personnel during the study,QIG-07.01,Visual acuity
45,QIT-07,Blinding of participants and personnel (performance bias),Performance bias due to knowledge of the allocated interventions by participants and personnel during the study,QIG-07.02,Progression AMD
46,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.01,Visual acuity
47,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.02,Progression AMD
48,QIT-08,Baseline similar?,-1,-1,-1
49,QIT-09,No contamination?,-1,-1,-1
50,QIT-10,Risk of bias overall?,-1,-1,-1
51,QIT-07,Blinded outcome assessment (healing),Were outcome assessors blind to treatment allocation?,-1,-1
52,QIT-08,Baseline comparability,Were treatment groups comparable at baseline for ulcer size and duration?,-1,-1
53,QIT-07,Baseline outcome data,-1,-1,-1
54,QIT-10,Baseline characteristics similar,-1,-1,-1
55,QIT-11,Study adequately protected against contamination,-1,-1,-1
56,QIT-07,Blinding (participant),-1,-1,-1
57,QIT-08,Blinding (assessor),-1,-1,-1
58,QIT-09,Comparability of exercise and control group at entry,Were the treatment and control group comparable at entry,-1,-1
59,QIT-10,Appropriateness of duration of surveillance,Was the surveillance active and of clinically appropriate duration (i.e. at least 9 months),-1,-1
60,QIT-10,Confounding,-1,QIG-10.01,All outcomes
61,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.02,All outcomes
62,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.01,"Functional outcomes, pain, clinical outcomes, complications"
63,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.02,"Death, reoperation"
64,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.01,"Functional outcomes, pain, clinical outcomes, complications"
65,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.02,"Death, reoperation"
66,QIT-07,Balance in baseline characteristics?,"Were the baseline characteristics (e.g. age, sex,Â  type of fracture) balanced at trial entry?",-1,-1
67,QIT-08,Free from performance bias?,"Was it free from performance bias? For instance, no important differences in care provider experience, other care (e.g. rehabilitation) provided.",-1,-1
68,QIT-09,Overall Risk of Bias,-1,-1,-1
69,QIT-09,Blinding of participants and personnel (performance bias): mortality,-1,-1,-1
70,QIT-10,Blinding of participants and personnel (performance bias): transfusion/renal replacement therapy/adverse events,-1,-1,-1
71,QIT-11,Blinding of outcome assessment (detection bias): mortality,-1,-1,-1
72,QIT-12,Blinding of outcome assessment (detection bias): transfusion/renal replacement therapy/adverse events,-1,-1,-1
73,QIT-15,Baseline characteristics,-1,-1,-1
74,QIT-13,Blinding of participants,-1,-1,-1
75,QIT-11,Blinding of clinicians,-1,-1,-1
76,QIT-04,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-04.01,All outcomes
77,QIT-05,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-05.01,All outcomes
78,QIT-15,Intention to treat analysis,-1,-1,-1
79,QIT-06,Selective reporting (reporting bias),Reporting bias due to selective outcome reporting,-1,-1
80,QIT-10,Comparability of groups at baseline,-1,-1,-1
81,QIT-08,Compliance,-1,-1,-1
82,QIT-09,Cointerventions,-1,-1,-1
83,QIT-16,Timing of assessment,-1,-1,-1
84,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.01,Carers
85,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.02,Patients
86,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.03,Outcome assessors
87,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.01,Objective outcomes
88,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.02,Subjective outcomes
89,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.01,Objective outcomes
90,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.02,Subjective outcomes
91,QIT-07,Baseline characteristics similar?,"Were potentially confounding variables (age, sex) and the performance or patient outcomes measured prior to the intervention, and no substantial differences found to be present across study groups?",-1,-1
92,QIT-08,Reliable primary outcome measures?,"Was the primary outcome measure reliable i.e. two or more raters with agreement ≥90% or kappa ≥0.8 OR outcome assessment is objective, e.g. weight?",QIG-08.01,Average weight change
93,QIT-09,Protection against contamination?,"Was the allocation by community, institution or practice and it was unlikely that control group received the intervention?",-1,-1
94,QIT-07,Blinding of participants and personnel (performance bias),Performance bias due to knowledge of the allocated interventions by participants and personnel during the study,QIG-07.01,"All-cause mortality; serious adverse events, variceal rebleed-related mortality, variceal rebleeding, non-serious adverse events."
95,QIT-04,Incomplete outcome data addressed?,Were incomplete outcome data adequately addressed?,QIG-04.02,All outcomes
96,QIT-08,Biochemical validation of smoking abstinence (detection bias),Was smoking cessation biochemically validated?,-1,-1
97,QIT-09,Blinding of participants and personnel (performance bias),Performance bias due to knowledge of the allocated interventions by participants and personnel during the study,QIG-09.01,All outcomes
98,QIT-10,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-10.01,All outcomes
99,QIT-11,Incomplete implementation,Exposure to intervention,-1,-1
100,QIT-12,Equal baseline characteristics in study arms,-1,-1,-1
101,QIT-13,Contamination of control group,-1,-1,-1
102,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.05,All outcomes
103,QIT-09,Availability of training and supervision,"Lack of adaquate training, supervision and guidance on appropriate delivery of intervention may influence quality of RT therapy offered and bias outcomes.",QIG-09.01,Objective outcome measures
104,QIT-10,Availability of manual or protocol for intervention,-1,QIG-10.01,All outcomes
105,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.01,effect of intervention
106,QIT-11,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-11.01,All outcomes
107,QIT-07,Outcomes at baseline similar?,Were baseline outcomes measurements similar?,-1,-1
108,QIT-08,Characteristics at baseline similar?,Were baseline characteristics similar?,-1,-1
109,QIT-09,Adequate protection against contamination?,Was the study adequately protected against contamination?,-1,-1
110,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.02,All outcomes
111,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.01,All outcomes up to 3 month after randomisation
112,QIT-07,Incomplete follow-up outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete long-term outcome",QIG-07.01,All outcomes later than 3 months after randomisation
113,QIT-07,Blinding of participants and personnel (performance bias),Performance bias due to knowledge of the allocated interventions by participants and personnel during the study,QIG-07.01,Fractures
114,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.01,Fractures
115,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.02,Falls
116,QIT-10,CC - case selection,"Case definition, representativeness",QIG-10.01,All outcomes
117,QIT-11,CC - control selection,Definition and selection,QIG-11.01,All outcomes
118,QIT-13,CC - comparability,Comparability of cases and controls on the basis of the design or analysis,QIG-13.01,All outcomes
119,QIT-12,CC - exposure,"Ascertainment of exposure, same method case and control",QIG-12.01,All outcomes
120,QIT-14,PCS/RCS - selection exposed cohort,Representativeness of the exposed cohort and ascertainment of exposure,QIG-14.01,All outcomes
121,QIT-15,PCS/RCS - selection non-exposed cohort,-1,QIG-15.01,All outcomes
122,QIT-16,PCS/RCS - comparability,Comparability of cohorts on the basis of the design or analysis,QIG-16.01,All outcomes
123,QIT-17,PCS/RCS - assessment of outcome,"Assessment of outcome, was the follow-up long enough, adequacy of follow-up of cohort",QIG-17.01,All outcomes
124,QIT-09,{'I': 'Summary assessment'},Summary assessment of the risk of bias,-1,-1
125,QIT-11,Baseline characteristics,"{'BR': None, '#text': 'Were baseline characteristics similar?Score “Low risk” if baseline characteristics of the study and control providers are reported and similar. Score “Unclear risk” if it is not clear in the paper (e.g. characteristics are mentioned in text but no data were presented). Score “High risk” if there is no report of characteristics in text or tables or if there are differences between control and intervention providers. Note that in some cases imbalance in patient characteristics may be due to recruitment bias whereby the provider was responsible for recruiting patients into the trial.'}",-1,-1
126,QIT-10,Baseline outcome measurement,"{'BR': None, '#text': 'Were baseline outcome measurements similar?1,2Score “Low risk” if performance or patient outcomes were measured prior to the intervention, and no important differences were present across study groups. In RCTs, score “Low risk” if imbalanced but appropriate adjusted analysis was performed (e.g. Analysis of covariance). Score “High risk” if important differences were present and not adjusted for in analysis. If RCTs have no baseline measure of outcome, score “Unclear risk”.'}",-1,-1
127,QIT-09,Contamination,"['Is it unlikely that the control group received the intervention (i.e. professional role revision)?', 'Score “low risk” if allocation was by community, institution or practice and it is unlikely that the control group received the intervention. Score “high risk” if it is likely that the control group received the intervention (e.g. if patients rather than professionals were randomised). Score “unclear” if professionals were allocated within a clinic or practice and it is possible that communication between intervention and control professionals could have occurred (e.g. physicians within practices were allocated to intervention or control)']",-1,-1
128,QIT-15,Bias due to lack of power,-1,-1,-1
129,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.01,For participants
130,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.02,For outcome assessors
131,QIT-07,Imbalance of outcome measures at baseline addressed?,-1,-1,-1
132,QIT-08,Comparability of intervention and control group characteristics at baseline addressed?,-1,-1,-1
133,QIT-09,Protection against contamination?,-1,-1,-1
134,QIT-10,Selective recruitment of participants addressed?,-1,-1,-1
135,QIT-09,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-09.01,All outcomes
136,QIT-07,Overall risk of bias,"Overall risk of bias taking into account all above risks, concentrating on blinding",-1,-1
137,QIT-01,Bias arising from the randomization process,-1,-1,-1
138,QIT-02,Bias due to deviations from intended interventions,-1,QIG-02.06,Urologic symptom score (subgroup analysisâhexanic vs non-hexanic extract)
139,QIT-02,Bias due to deviations from intended interventions,-1,QIG-02.07,Quality of life (short termâall studies)
140,QIT-02,Bias due to deviations from intended interventions,-1,QIG-02.08,Adverse events
141,QIT-02,Bias due to deviations from intended interventions,-1,QIG-02.09,Urologic symptom score (long termâall studies)
142,QIT-02,Bias due to deviations from intended interventions,-1,QIG-02.10,Quality of life (long termâall studies)
143,QIT-02,Bias due to deviations from intended interventions,-1,QIG-02.11,Urologic symptom score (short termâall studies)
144,QIT-02,Bias due to deviations from intended interventions,-1,QIG-02.14,Urologic symptom score (short termâsensitivity analysis)
145,QIT-02,Bias due to deviations from intended interventions,-1,QIG-02.15,Urologic symptom score (long termâsensitivity analysis)
146,QIT-02,Bias due to deviations from intended interventions,-1,QIG-02.16,Quality of life (short termâsensitivity analysis)
147,QIT-02,Bias due to deviations from intended interventions,-1,QIG-02.17,Quality of life (long termâsensitivity analysis)
148,QIT-02,Bias due to deviations from intended interventions,-1,QIG-02.18,Adverse events (sensitivity analysis)
149,QIT-03,Bias due to missing outcome data,-1,QIG-03.06,Urologic symptom score (subgroup analysisâhexanic vs non-hexanic extract)
150,QIT-03,Bias due to missing outcome data,-1,QIG-03.07,Quality of life (short termâall studies)
151,QIT-03,Bias due to missing outcome data,-1,QIG-03.08,Adverse events
152,QIT-03,Bias due to missing outcome data,-1,QIG-03.09,Urologic symptom score (long termâall studies)
153,QIT-03,Bias due to missing outcome data,-1,QIG-03.10,Quality of life (long termâall studies)
154,QIT-03,Bias due to missing outcome data,-1,QIG-03.11,Urologic symptom score (short termâall studies)
155,QIT-03,Bias due to missing outcome data,-1,QIG-03.14,Urologic symptom score (short termâsensitivity analysis)
156,QIT-03,Bias due to missing outcome data,-1,QIG-03.15,Urologic symptom score (long termâsensitivity analysis)
157,QIT-03,Bias due to missing outcome data,-1,QIG-03.16,Quality of life (short termâsensitivity analysis)
158,QIT-03,Bias due to missing outcome data,-1,QIG-03.17,Quality of life (long termâsensitivity analysis)
159,QIT-03,Bias due to missing outcome data,-1,QIG-03.18,Adverse events (sensitivity analysis)
160,QIT-04,Bias in measurement of the outcome,-1,QIG-04.06,Urologic symptom score (subgroup analysisâhexanic vs non-hexanic extract)
161,QIT-04,Bias in measurement of the outcome,-1,QIG-04.07,Quality of life (short termâall studies)
162,QIT-04,Bias in measurement of the outcome,-1,QIG-04.08,Adverse events
163,QIT-04,Bias in measurement of the outcome,-1,QIG-04.09,Urologic symptom score (long termâall studies)
164,QIT-04,Bias in measurement of the outcome,-1,QIG-04.10,Quality of life (long termâall studies)
165,QIT-04,Bias in measurement of the outcome,-1,QIG-04.11,Urologic symptom score (short termâall studies)
166,QIT-04,Bias in measurement of the outcome,-1,QIG-04.14,Urologic symptom score (short termâsensitivity analysis)
167,QIT-04,Bias in measurement of the outcome,-1,QIG-04.15,Urologic symptom score (long termâsensitivity analysis)
168,QIT-04,Bias in measurement of the outcome,-1,QIG-04.16,Quality of life (short termâsensitivity analysis)
169,QIT-04,Bias in measurement of the outcome,-1,QIG-04.17,Quality of life (long termâsensitivity analysis)
170,QIT-04,Bias in measurement of the outcome,-1,QIG-04.18,Adverse events (sensitivity analysis)
171,QIT-05,Bias in selection of the reported result,-1,QIG-05.06,Urologic symptom score (subgroup analysisâhexanic vs non-hexanic extract)
172,QIT-05,Bias in selection of the reported result,-1,QIG-05.07,Quality of life (short termâall studies)
173,QIT-05,Bias in selection of the reported result,-1,QIG-05.08,Adverse events
174,QIT-05,Bias in selection of the reported result,-1,QIG-05.09,Urologic symptom score (long termâall studies)
175,QIT-05,Bias in selection of the reported result,-1,QIG-05.10,Quality of life (long termâall studies)
176,QIT-05,Bias in selection of the reported result,-1,QIG-05.11,Urologic symptom score (short termâall studies)
177,QIT-05,Bias in selection of the reported result,-1,QIG-05.14,Urologic symptom score (short termâsensitivity analysis)
178,QIT-05,Bias in selection of the reported result,-1,QIG-05.15,Urologic symptom score (long termâsensitivity analysis)
179,QIT-05,Bias in selection of the reported result,-1,QIG-05.16,Quality of life (short termâsensitivity analysis)
180,QIT-05,Bias in selection of the reported result,-1,QIG-05.17,Quality of life (long termâsensitivity analysis)
181,QIT-05,Bias in selection of the reported result,-1,QIG-05.18,Adverse events (sensitivity analysis)
182,QIT-06,Overall bias,-1,QIG-06.06,Urologic symptom score (subgroup analysisâhexanic vs non-hexanic extract)
183,QIT-06,Overall bias,-1,QIG-06.07,Quality of life (short termâall studies)
184,QIT-06,Overall bias,-1,QIG-06.08,Adverse events
185,QIT-06,Overall bias,-1,QIG-06.09,Urologic symptom score (long termâall studies)
186,QIT-06,Overall bias,-1,QIG-06.10,Quality of life (long termâall studies)
187,QIT-06,Overall bias,-1,QIG-06.11,Urologic symptom score (short termâall studies)
188,QIT-06,Overall bias,-1,QIG-06.14,Urologic symptom score (short termâsensitivity analysis)
189,QIT-06,Overall bias,-1,QIG-06.15,Urologic symptom score (long termâsensitivity analysis)
190,QIT-06,Overall bias,-1,QIG-06.16,Quality of life (short termâsensitivity analysis)
191,QIT-06,Overall bias,-1,QIG-06.17,Quality of life (long termâsensitivity analysis)
192,QIT-06,Overall bias,-1,QIG-06.18,Adverse events (sensitivity analysis)
193,QIT-09,Masking (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,-1,-1
194,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.02,All outcomes
195,QIT-09,Masking (performance bias and detection bias),-1,QIG-09.01,Visual acuity outcomes
196,QIT-09,Masking (performance bias and detection bias),-1,QIG-09.02,Visual field outcomes
197,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.01,Visual acuity outcomes
198,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.02,Visual field outcomes
199,QIT-11,Blinding of participants and personnel (performance bias),Performance bias due to knowledge of the allocated interventions by participants and personnel during the study,QIG-11.01,All outcomes
200,QIT-12,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-12.01,All outcomes
201,QIT-10,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-10.01,"Observer-reported outcomes, some judgement"
202,QIT-10,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-10.02,"Observer-reported outcomes, no judgement"
203,QIT-10,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-10.03,Participant/proxy-reported outcomes
204,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.01,"Observer-reported outcomes, some judgement"
205,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.02,"Death, re-admission, re-operation, surgical complications, return to living at home"
206,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.03,Participant/proxy-reported outcomes
207,QIT-07,Free from baseline imbalance bias?,Was the study free from important/major imbalances in baseline characteristics that could put it at high risk of bias?,-1,-1
208,QIT-08,Free from performance bias due to non-trial interventions?,Wsa the study free from performance bias such as lack of comparable provision of non-trial interventions?,-1,-1
209,QIT-12,Method of ascertaining falls,"[""'low risk' if concurrent collection of data about falling, plus clear definition of falls e.g. participants given postcards to fill in daily and mail back monthly, calendar to mark monthly, or more frequent follow- up by the researchers"", ""- 'high risk' if ascertainment relied on participant recall at longer intervals than one month during the study or at its conclusion, or if differences in methods of ascertainment between arms, or falls poorly defined"", ""- 'unclear risk' if retrospective recall over a short period only, or insufficient information on ascertainment or definition of falls""]",-1,-1
210,QIT-13,Cluster-randomised trials,relating to bias due to factors particular to cluster-randomised trials,-1,-1
211,QIT-07,Complete follow-up?,"Were all patients who were randomised, analysed?",-1,-1
212,QIT-08,Potential bias related to study funding,Who were the study sponsors?,-1,-1
213,QIT-07,Baseline comparability,-1,-1,-1
214,QIT-09,Timing of outcome assessment,-1,-1,-1
215,QIT-10,Trial sponsorship,-1,-1,-1
216,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.01,All outcomes - outcome assessors?
217,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.02,All outcomes - patients?
218,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.03,All outcomes - care provider?
219,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.01,All outcomes - drop-outs?
220,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.02,All outcomes - ITT analysis?
221,QIT-07,Similarity of baseline characteristics?,Were the groups similar at baseline regarding the most important prognostic indicators?,-1,-1
222,QIT-08,Co-interventions avoided or similar?,Were co-interventions avoided or similar?,-1,-1
223,QIT-09,Compliance acceptable?,Was the compliance acceptable in all groups?,-1,-1
224,QIT-11,Timing of the outcome assessment similar?,Was the timing of the outcome assessment similar in all groups?,-1,-1
225,QIT-07,Blinding? (Outcome assessors),-1,-1,-1
226,QIT-08,Incomplete outcome data? (Caries efficacy outcomes),-1,-1,-1
227,QIT-09,Free of other bias? Comparability of the groups,-1,-1,-1
228,QIT-10,Free of other bias? Co-interventions,-1,-1,-1
229,QIT-14,Blinding of participants (performance bias),-1,-1,-1
230,QIT-13,Blinding of personnel (performance bias),-1,-1,-1
231,QIT-09,Financial support,-1,-1,-1
232,QIT-10,Approved by medical ethics committee,-1,-1,-1
233,QIT-11,Informed consent,-1,-1,-1
234,QIT-12,ITT analysis,-1,-1,-1
235,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.01,Active trachoma
236,QIT-03,Blinding (performance bias and detection bias),Performance bias or detection bias due to knowledge of the allocated interventions after assignment,QIG-03.02,"{'I': 'Chlamydia trachomatis', '#text': 'Ocular  infection'}"
237,QIT-07,Recruitment bias addressed? (cluster RCT only),Was there a low risk of recruitment bias (knowledge of intervention affects recruitment),-1,-1
238,QIT-08,Baseline imbalances addressed? (cluster RCT only),Were baseline imbalances adequately controlled?,-1,-1
239,QIT-09,Funding for the screening test,If the screening test was self funded,-1,-1
240,QIT-10,Baseline comparability,Were the participants comparable at base line after randomisation,-1,-1
241,QIT-11,Measure against contamination,Were measures against contamination adequete,-1,-1
242,QIT-03,Blinding?,Was knowledge of the allocated interventions adequately prevented during the study?,QIG-03.01,all outcomes
243,QIT-03,Blinding?,Was knowledge of the allocated interventions adequately prevented during the study?,QIG-03.02,patient-reported outcomes
244,QIT-03,Blinding?,Was knowledge of the allocated interventions adequately prevented during the study?,QIG-03.03,objective outcomes
245,QIT-04,Incomplete outcome data addressed?,Were incomplete outcome data adequately addressed?,QIG-04.02,Binary outcomes
246,QIT-04,Incomplete outcome data addressed?,Were incomplete outcome data adequately addressed?,QIG-04.03,Continuous outcomes
247,QIT-07,Susceptibility to bias reduced?,Was the susceptibility to bias effects reduced by objective outcomes?,-1,-1
248,QIT-09,Other bias- timing of recruitment of clusters,if recruited after randomisation it increases risk of bias for the cluster trial,-1,-1
249,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.01,Primary outcomes
250,QIT-08,Blinding of outcome assessment (detection bias),Detection bias due to knowledge of the allocated interventions by outcome assessors,QIG-08.02,Secondary and other outcomes
251,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.01,Primary outcomes
252,QIT-04,Incomplete outcome data (attrition bias),"Attrition bias due to amount, nature or handling of incomplete outcome data",QIG-04.02,Secondary and other outcomes
253,QIT-09,Sequence Generation,Describe the method used to generate the allocation sequence in sufficient detail to allow an assessment of whether it should produce comparable groups.,-1,-1
