index,review_code,title
53,CD000979,CD000979 v. 7.16 Orthodontic treatment for posterior crossbites
54,CD000984,CD000984 v. 11.0 Interventions to change the behaviour of health professionals and the organisation of care to promot
55,CD000990,CD000990 v. 10.0 Exercise for intermittent claudication
56,CD000994,CD000994 v. 9.4 Home care by outreach nursing for chronic obstructive pulmonary disease
57,CD001000,CD001000 v. 13.0 Corticosteroids for the prevention and treatment of post-extubation stridor in neonates children an
58,CD001007,CD001007 v. 9.68 Group behaviour therapy programmes for smoking cessation
59,CD001019,CD001019 v. 7.0 Oral contraceptives for pain associated with endometriosis
60,CD001021,CD001021 v. 13.12 Inhaled anti-pseudomonal antibiotics for long-term therapy in cystic fibrosis
61,CD001023,CD001023 v. 6.0 Surgical portosystemic shunts versus transjugular intrahepatic portosystemic shunt for variceal haem
62,CD001035,CD001035 v. 9.0 Interventions for encouraging sexual behaviours intended to prevent cervical cancer
63,CD001055,CD001055 v. 10.0 Psychosocial interventions for supporting women to stop smoking in pregnancy
64,CD001067,CD001067 v. 11.0 Antibiotic regimens for postpartum endometritis
65,CD001069,CD001069 v. 9.0 Sucrose for analgesia in newborn infants undergoing painful procedures
66,CD001088,CD001088 v. 11.2 Psychosocial interventions for people with both severe mental illness and substance misuse
67,CD001118,CD001118 v. 13.0 Print-based self-help interventions for smoking cessation
68,CD001120,CD001120 v. 8.0 Reminiscence therapy for dementia
69,CD001122,CD001122 v. 14.0 Laparoscopic ovarian drilling for ovulation induction in women with anovulatory polycystic ovary syn
70,CD001134,CD001134 v. 9.0 Psychosocial and psychological interventions for preventing postpartum depression
71,CD001139,CD001139 v. 7.0 Interventions for preventing and treating low-back and pelvic pain during pregnancy
72,CD001141,CD001141 v. 11.6 Support for healthy breastfeeding mothers with healthy term babies
73,CD001168,CD001168 v. 7.0 Interventions for treating oral lichen planus corticosteroid therapies
74,CD001174,CD001174 v. 5.0 Manually-generated reminders delivered on paper effects on professional practice and patient outcom
75,CD001175,CD001175 v. 7.0 Computer-generated reminders delivered on paper to healthcare professionals effects on professional
76,CD001188,CD001188 v. 11.0 Nursing interventions for smoking cessation
77,CD001191,CD001191 v. 19.0 Rivastigmine for Alzheimer's disease
78,CD001206,CD001206 v. 13.0 Pharmacotherapy for social anxiety disorder (SAnD)
79,CD001218,CD001218 v. 11.0 Acupuncture for the prevention of episodic migraine
80,CD001233,CD001233 v. 9.10 Mechanical methods for induction of labour
81,CD001245,CD001245 v. 11.4 Antifibrinolytic therapy for aneurysmal subarachnoid haemorrhage
82,CD001255,CD001255 v. 15.2 Hip protectors for preventing hip fractures in older people
83,CD001256,CD001256 v. 9.0 Interventions for preventing lower limb soft-tissue running injuries
84,CD001269,CD001269 v. 17.0 Vaccines for preventing influenza in healthy adults
85,CD001271,CD001271 v. 7.0 Nurses as substitutes for doctors in primary care
86,CD001277,CD001277 v. 12.0 Breathing exercises for adults with asthma
87,CD001287,CD001287 v. 13.0 Mucolytic agents versus placebo for chronic bronchitis or chronic obstructive pulmonary disease
88,CD001291,CD001291 v. 9.0 Community interventions for preventing smoking in young people
89,CD001292,CD001292 v. 9.0 Individual behavioural counselling for smoking cessation
90,CD001293,CD001293 v. 13.0 School-based programmes for preventing smoking
91,CD001298,CD001298 v. 12.0 Fluid and pharmacological agents for adhesion prevention after gynaecological surgery
92,CD001301,CD001301 v. 11.6 Intracytoplasmic sperm injection versus conventional in vitro fertilisation in couples with males pr
93,CD001321,CD001321 v. 18.121 Cranberries for preventing urinary tract infections
94,CD001337,CD001337 v. 7.140 Umbilical vein injection for management of retained placenta
95,CD001347,CD001347 v. 9.0 Bisphosphonates for steroid-induced osteoporosis
96,CD001392,CD001392 v. 10.0 Prolonged antibiotics for non-cystic fibrosis bronchiectasis in children and adults
97,CD001395,CD001395 v. 7.0 Phytoestrogens for menopausal vasomotor symptoms
98,CD001408,CD001408 v. 5.0 Botulinum toxin type A in the treatment of lower limb spasticity in children with cerebral palsy
99,CD001417,CD001417 v. 16.8 Topiramate add-on therapy for drug-resistant focal epilepsy
100,CD001423,CD001423 v. 12.22 Serenoa repens for the treatment of lower urinary tract symptoms due to benign prostatic enlargement
101,CD001430,CD001430 v. 12.1 Corticosteroids for treating optic neuritis
102,CD001431,CD001431 v. 12.0 Decision aids for people facing health treatment or screening decisions
103,CD001451,CD001451 v. 9.0 Routine ultrasound in late pregnancy (after 24 weeks' gestation)
104,CD001457,CD001457 v. 9.0 Glutamine supplementation to prevent morbidity and mortality in preterm infants
105,CD001479,CD001479 v. 12.0 Vitamin A for treating measles in children
106,CD001480,CD001480 v. 15.0 Pneumococcal conjugate vaccines for preventing acute otitis media in children
107,CD001511,CD001511 v. 7.2 Glucocorticosteroids for people with alcoholic hepatitis
108,CD001533,CD001533 v. 15.0 Corticosteroid therapy for nephrotic syndrome in children
109,CD001538,CD001538 v. 12.0 Surgery for nonarteritic anterior ischemic optic neuropathy
110,CD001546,CD001546 v. 8.2 Laparoscopic versus open surgery for suspected appendicitis
111,CD001688,CD001688 v. 7.0 Interventions for promoting the initiation of breastfeeding
112,CD001704,CD001704 v. 10.7 Interventions for improving mobility after hip fracture surgery in adults
113,CD001730,CD001730 v. 6.0 Medical day hospital care for older people versus alternative forms of care
114,CD001746,CD001746 v. 9.0 Family and carer smoking control programmes for reducing children's exposure to environmental tobacc
115,CD001750,CD001750 v. 11.0 Gonadotrophin-releasing hormone antagonists for assisted reproductive technology
116,CD001751,CD001751 v. 7.0 Nonsteroidal anti-inflammatory drugs for dysmenorrhoea
117,CD001754,CD001754 v. 9.0 Traditional suburethral sling operations for urinary incontinence in women
118,CD001756,CD001756 v. 11.0 Mechanical devices for urinary incontinence in women
119,CD001781,CD001781 v. 12.0 Topical treatments for cutaneous warts
120,CD001800,CD001800 v. 15.11 Exercise-based cardiac rehabilitation for coronary heart disease
121,CD001822,CD001822 v. 12.1 Physical conditioning as part of a return to work strategy to reduce sickness absence for workers wi
122,CD001829,CD001829 v. 8.2 Interventions for treating oral leukoplakia to prevent oral cancer
123,CD001830,CD001830 v. 7.2 Pit and fissure sealants for preventing dental decay in permanent teeth
124,CD001838,CD001838 v. 11.0 Intra-uterine insemination for unexplained subfertility
125,CD001841,CD001841 v. 8.0 First-line drugs for hypertension
126,CD001843,CD001843 v. 11.0 Conservative management for postprostatectomy urinary incontinence
127,CD001860,CD001860 v. 11.0 Antibiotics for trachoma
128,CD001865,CD001865 v. 8.4 Personalised risk communication for informed decision making about taking screening tests
129,CD001867,CD001867 v. 11.0 Opioid antagonists for alcohol dependence
130,CD001871,CD001871 v. 15.2 Interventions for preventing obesity in children
131,CD001877,CD001877 v. 12.0 Screening for breast cancer with mammography
132,CD001880,CD001880 v. 11.0 Nutritional supplementation for hip fracture aftercare in older people
133,CD001884,CD001884 v. 6.0 Desmopressin use for minimising perioperative blood transfusion
134,CD001893,CD001893 v. 10.3 Epidural local anaesthetics versus opioid-based analgesic regimens for postoperative gastrointestina
135,CD001919,CD001919 v. 7.178 Information provision for stroke survivors and their carers
136,CD001920,CD001920 v. 6.9 Physical rehabilitation approaches for the recovery of function and mobility following stroke
137,CD001929,CD001929 v. 12.12 Massage for low-back pain
138,CD001951,CD001951 v. 7.0 Haloperidol dose for the acute phase of schizophrenia
139,CD001955,CD001955 v. 15.8 Glucocorticoids for croup in children
140,CD001973,CD001973 v. 9.0 Interventions for treating oral mucositis for patients with cancer receiving treatment
141,CD001977,CD001977 v. 8.0 Acupuncture for peripheral joint osteoarthritis
142,CD001980,CD001980 v. 8.0 Mind and body therapy for fibromyalgia
143,CD002003,CD002003 v. 13.3 Beta-blockers for hypertension
144,CD002008,CD002008 v. 11.1 Dietary advice with or without oral nutritional supplements for disease-related malnutrition in adul
145,CD002011,CD002011 v. 8.102 Conventional chest physiotherapy compared to other airway clearance techniques for cystic fibrosis
146,CD002014,CD002014 v. 8.0 Behavioural treatment for chronic low-back pain
147,CD002018,CD002018 v. 7.3 Antidepressant treatment for postnatal depression
148,CD002020,CD002020 v. 12.0 Group-based parent training programmes for improving parental psychosocial health
149,CD002025,CD002025 v. 14.0 Buprenorphine for managing opioid withdrawal
150,CD002042,CD002042 v. 11.0 Transfusion thresholds for guiding red blood cell transfusion
151,CD002053,CD002053 v. 6.10 Sedatives for opioid withdrawal in newborn infants
152,CD002059,CD002059 v. 7.6 Opioid treatment for opioid withdrawal in newborn infants
153,CD002097,CD002097 v. 7.0 Primary care professionals providing non-urgent care in hospital emergency departments
154,CD002098,CD002098 v. 6.0 Interactive telemedicine effects on professional practice and health care outcomes
155,CD002114,CD002114 v. 11.0 Weighted vaginal cones for urinary incontinence
156,CD002120,CD002120 v. 6.51 Combined oral contraceptive pill for primary dysmenorrhoea
157,CD002124,CD002124 v. 6.0 Dietary supplements for dysmenorrhoea
158,CD002137,CD002137 v. 9.0 Reduced or modified dietary fat for preventing cardiovascular disease
159,CD002140,CD002140 v. 7.0 Concurrent chemoradiotherapy in non-small cell lung cancer
160,CD002141,CD002141 v. 11.0 Drugs for preventing lung cancer in healthy people
161,CD002142,CD002142 v. 15.0 Postoperative radiotherapy for non-small cell lung cancer
162,CD002143,CD002143 v. 14.2 Palliative radiotherapy regimens for patients with thoracic symptoms from non-small cell lung cancer
163,CD002193,CD002193 v. 8.150 Multidisciplinary biopsychosocial rehabilitation for subacute low back pain
164,CD002200,CD002200 v. 7.6 Follow-up strategies for patients treated for non-metastatic colorectal cancer
165,CD002202,CD002202 v. 13.15 Hydroxyurea (hydroxycarbamide) for sickle cell disease
166,CD002213,CD002213 v. 8.2 Interprofessional education effects on professional practice and healthcare outcomes
167,CD002229,CD002229 v. 15.0 Hormone therapy for preventing cardiovascular disease in post-menopausal women
168,CD002244,CD002244 v. 8.1 Corticosteroids for managing tuberculous meningitis
169,CD002249,CD002249 v. 7.0 Clomiphene and other antioestrogens for ovulation induction in polycystic ovarian syndrome
170,CD002250,CD002250 v. 8.0 Antibiotic prophylaxis during the second and third trimester to reduce adverse pregnancy outcomes an
171,CD002251,CD002251 v. 11.0 Techniques for preventing hypotension during spinal anaesthesia for caesarean section
172,CD002252,CD002252 v. 10.0 Antihypertensive drug therapy for mild to moderate hypertension during pregnancy
173,CD002253,CD002253 v. 8.0 Medical treatment for early fetal death (less than 24 weeks)
174,CD002283,CD002283 v. 6.7 Retention procedures for stabilising tooth position after treatment with orthodontic braces
175,CD002290,CD002290 v. 13.0 Non-corticosteroid immunosuppressive medications for steroid-sensitive nephrotic syndrome in childre
176,CD002292,CD002292 v. 13.258 Interventions for bullous pemphigoid
177,CD002294,CD002294 v. 10.0 Interventions for preoperative smoking cessation
178,CD002295,CD002295 v. 11.5 Exercise interventions for smoking cessation
179,CD002302,CD002302 v. 5.0 Pressure-relieving interventions for treating diabetic foot ulcers
180,CD002309,CD002309 v. 10.6 Phosphodiesterase-4 inhibitors for chronic obstructive pulmonary disease
181,CD002752,CD002752 v. 10.0 Disease management interventions for heart failure
182,CD002768,CD002768 v. 18.4 Physical activity and exercise training in cystic fibrosis
183,CD002779,CD002779 v. 7.0 Interventions for treating burning mouth syndrome
184,CD002783,CD002783 v. 9.114 Thrombolytic strategies versus standard anticoagulation for acute deep vein thrombosis of the lower 
185,CD002785,CD002785 v. 6.0 Chelation therapy for atherosclerotic cardiovascular disease
186,CD002786,CD002786 v. 6.10 Medical adjuvant treatment to increase patency of arteriovenous fistulae and grafts
187,CD002795,CD002795 v. 9.9 Pharmacotherapy for post traumatic stress disorder (PTSD)
188,CD002829,CD002829 v. 8.0 Antioxidant treatment for amyotrophic lateral sclerosis or motor neuron disease
189,CD002834,CD002834 v. 8.85 Interventions targeted at women to encourage the uptake of cervical screening
190,CD002840,CD002840 v. 7.0 Treadmill training and body weight support for walking after stroke
191,CD002843,CD002843 v. 6.0 Strategies for partner notification for sexually transmitted infections including HIV
192,CD002850,CD002850 v. 12.0 Telephone counselling for smoking cessation
193,CD002854,CD002854 v. 10.1 Vitamin E for Alzheimer's dementia and mild cognitive impairment
194,CD002855,CD002855 v. 9.6 Medical methods for first trimester abortion
195,CD002878,CD002878 v. 8.19 Chronic non-invasive ventilation for chronic obstructive pulmonary disease
196,CD002892,CD002892 v. 10.18 Individual-level interventions for reducing occupational stress in healthcare workers
197,CD002902,CD002902 v. 11.0 Psychological interventions for coronary heart disease
198,CD002911,CD002911 v. 9.0 Alarm interventions for nocturnal enuresis in children
199,CD002922,CD002922 v. 10.0 Immunosuppressive treatment for proliferative lupus nephritis
200,CD002947,CD002947 v. 7.0 Oral herbal therapies for treating osteoarthritis
201,CD002962,CD002962 v. 10.0 Acupuncture or acupressure for induction of labour
202,CD002971,CD002971 v. 10.0 Formula versus donor breast milk for feeding preterm or low birth weight infants
203,CD002990,CD002990 v. 18.5 Self-management interventions for people with chronic obstructive pulmonary disease
204,CD002991,CD002991 v. 10.5 Inhaled corticosteroids versus placebo for stable chronic obstructive pulmonary disease
205,CD003002,CD003002 v. 9.4 Drug therapy for obstructive sleep apnoea in adults
206,CD003006,CD003006 v. 10.0 Transient neurological symptoms (TNS) following spinal anaesthesia with lidocaine versus other local
207,CD003010,CD003010 v. 9.0 Traction for low-back pain with or without sciatica
208,CD003018,CD003018 v. 6.2 Parent training interventions for Attention Deficit Hyperactivity Disorder (ADHD) in children aged 5
209,CD003020,CD003020 v. 12.0 Universal school-based prevention for illicit drug use
210,CD003030,CD003030 v. 7.0 Continuing education meetings and workshops effects on professional practice and healthcare outcome
211,CD003031,CD003031 v. 9.13 Prophylactic drug management for febrile seizures in children
212,CD003034,CD003034 v. 10.0 Techniques for the interruption of tubal patency for female sterilisation
213,CD003036,CD003036 v. 11.0 Immediate postpartum insertion of intrauterine device for contraception
214,CD003048,CD003048 v. 7.4 Probiotics for treating acute infectious diarrhoea
215,CD003053,CD003053 v. 12.0 Insulin-sensitising drugs (metformin rosiglitazone pioglitazone D-chiro-inositol) for women with 
216,CD003054,CD003054 v. 6.2 Diet physical activity or both for prevention or delay of type 2 diabetes mellitus and its associat
217,CD003079,CD003079 v. 9.6 Benzodiazepines for psychosis-induced aggression or agitation
218,CD003086,CD003086 v. 10.2 Opioid antagonists for smoking cessation
219,CD003091,CD003091 v. 9.2 Dressings for the prevention of surgical site infection
220,CD003130,CD003130 v. 6.4 Mobile bearing vs fixed bearing prostheses for posterior cruciate retaining total knee arthroplasty 
221,CD003137,CD003137 v. 11.0 Addition to inhaled corticosteroids of long-acting beta2-agonists versus anti-leukotrienes for chron
222,CD003146,CD003146 v. 13.0 Blood transfusion for preventing primary and secondary stroke in people with sickle cell disease
223,CD003148,CD003148 v. 8.0 Psychological interventions for individuals with cystic fibrosis and their families
224,CD003150,CD003150 v. 9.0 Aromatherapy for dementia
225,CD003154,CD003154 v. 15.0 Memantine for dementia
226,CD003171,CD003171 v. 6.32 Surgical interventions for bilateral congenital cataract in children aged two years and under
227,CD003175,CD003175 v. 7.0 Adjuvant chemotherapy for endometrial cancer after hysterectomy
228,CD003177,CD003177 v. 10.4 Omega-3 fatty acids for the primary and secondary prevention of cardiovascular disease
229,CD003179,CD003179 v. 5.2 Adrenaline and vasopressin for cardiac arrest
230,CD003193,CD003193 v. 7.0 Anticholinergic drugs versus non-drug active therapies for non-neurogenic overactive bladder syndrom
231,CD003200,CD003200 v. 33.0 Exercise therapy for chronic fatigue syndrome
232,CD003212,CD003212 v. 9.10 Nasal intermittent positive pressure ventilation (NIPPV) versus nasal continuous positive airway pre
233,CD003214,CD003214 v. 9.0 Bronchodilators for the prevention and treatment of chronic lung disease in preterm infants
234,CD003220,CD003220 v. 7.2 Pulp treatment for extensive decay in primary teeth
235,CD003232,CD003232 v. 10.2 Interventions for renal vasculitis in adults
236,CD003233,CD003233 v. 10.1 Interventions for focal segmental glomerulosclerosis in adults
237,CD003236,CD003236 v. 7.0 Exercise training for adults with chronic kidney disease
238,CD003248,CD003248 v. 9.0 Effect of timing of umbilical cord clamping and other strategies to influence placental transfusion 
239,CD003249,CD003249 v. 9.0 Treatment for primary postpartum haemorrhage
240,CD003262,CD003262 v. 11.7 Interventions for rosacea
241,CD003263,CD003263 v. 13.0 Interventions for vitiligo
242,CD003267,CD003267 v. 7.2 Interventions for providers to promote a patient-centred approach in clinical consultations
243,CD003277,CD003277 v. 17.27 Anti-seizure medications for Lennox-Gastaut syndrome
244,CD003281,CD003281 v. 8.0 Stimulation of the wrist acupuncture point PC6 for preventing postoperative nausea and vomiting
245,CD003289,CD003289 v. 10.0 Tobacco cessation interventions for young people
246,CD003316,CD003316 v. 9.0 Physical fitness training for stroke patients
247,CD003317,CD003317 v. 5.2 Acupuncture for acute stroke
248,CD003328,CD003328 v. 8.0 Interventions for paracetamol (acetaminophen) overdose
249,CD003331,CD003331 v. 10.0 Exercise-based cardiac rehabilitation for adults with heart failure
250,CD003352,CD003352 v. 10.0 Dopamine agonists for the treatment of cocaine dependence
251,CD003357,CD003357 v. 8.0 In vitro fertilisation for unexplained subfertility
252,CD003362,CD003362 v. 8.0 Male circumcision for prevention of heterosexual acquisition of HIV in men
253,CD003363,CD003363 v. 5.2 Structural and community-level interventions for increasing condom use to prevent the transmission o
254,CD003366,CD003366 v. 11.0 Taxane-containing regimens for metastatic breast cancer
255,CD003372,CD003372 v. 8.3 Single agent versus combination chemotherapy for metastatic breast cancer
256,CD003374,CD003374 v. 10.0 Platinum-containing regimens for metastatic breast cancer
257,CD003380,CD003380 v. 13.0 Cognitive behavioural therapy (CBT) third-wave CBT and interpersonal therapy (IPT) based interventi
258,CD003388,CD003388 v. 15.0 Psychological therapies for chronic post-traumatic stress disorder (PTSD) in adults
259,CD003401,CD003401 v. 6.0 Combined spinal-epidural versus epidural analgesia in labour
260,CD003402,CD003402 v. 8.7 Omega-3 fatty acid addition during pregnancy
261,CD003406,CD003406 v. 7.17 Behavioural and cognitive-behavioural interventions for outwardly directed aggressive behaviour in p
262,CD003409,CD003409 v. 19.0 Methadone at tapered doses for the management of opioid withdrawal
263,CD003410,CD003410 v. 20.2 Heroin maintenance for chronic heroin-dependent individuals
264,CD003414,CD003414 v. 6.0 Cycle regimens for frozen-thawed embryo transfer
265,CD003434,CD003434 v. 9.0 Interventions for idiopathic intracranial hypertension
266,CD003437,CD003437 v. 7.6 Pharmacological non-invasive brain stimulation and psychological interventions and their combinati
267,CD003440,CD003440 v. 11.0 Workplace interventions for smoking cessation
268,CD003453,CD003453 v. 5.0 Orthodontic treatment for crowded teeth in children
269,CD003474,CD003474 v. 17.0 Bisphosphonates and other bone agents for breast cancer
270,CD003477,CD003477 v. 10.0 Music-based therapeutic interventions for people with dementia
271,CD003488,CD003488 v. 8.0 Corticosteroids for dengue infection
272,CD003505,CD003505 v. 7.0 Lifestyle interventions for the treatment of urinary incontinence in adults
273,CD003510,CD003510 v. 8.0 Antiretrovirals for reducing the risk of mother-to-child transmission of HIV infection
274,CD003511,CD003511 v. 13.0 Progestogen for preventing miscarriage in women with recurrent miscarriage of unclear etiology
275,CD003519,CD003519 v. 7.2 Early skin-to-skin contact for mothers and their healthy newborn infants
276,CD003543,CD003543 v. 12.0 Interventions to improve antibiotic prescribing practices for hospital inpatients
277,CD003575,CD003575 v. 15.0 Interventions for treating collagenous colitis
278,CD003582,CD003582 v. 10.0 Elective birth at 37 weeks gestation for women with an uncomplicated twin pregnancy
279,CD003586,CD003586 v. 5.78 Non-pharmacological interventions for spatial neglect or inattention following stroke and other non-
280,CD003587,CD003587 v. 11.0 Fast-track cardiac care for adult cardiac surgical patients
281,CD003594,CD003594 v. 14.0 Interventions for idiopathic steroid-resistant nephrotic syndrome in children
282,CD003633,CD003633 v. 6.0 Botulinum toxin type A therapy for cervical dystonia
283,CD003641,CD003641 v. 12.0 Surgery for weight loss in adults
284,CD003650,CD003650 v. 9.0 Micronutrient supplementation in adults with HIV infection
285,CD003664,CD003664 v. 8.0 Infant formulas containing hydrolysed protein for prevention of allergic disease
286,CD003680,CD003680 v. 15.0 Group-based parent training programmes for improving emotional and behavioural adjustment in young c
287,CD003689,CD003689 v. 6.0 Pharmacological psychological and non-invasive brain stimulation interventions for preventing depre
288,CD003698,CD003698 v. 7.0 Community pharmacy personnel interventions for smoking cessation
289,CD003709,CD003709 v. 7.0 Vasopressors for hypotensive shock
290,CD003719,CD003719 v. 10.0 Recombinant versus urinary human chorionic gonadotrophin for final oocyte maturation triggering in I
291,CD003721,CD003721 v. 9.0 Cancer genetic risk assessment for individuals at risk of familial breast cancer
292,CD003737,CD003737 v. 8.38 Interventions for intermittent exotropia
293,CD003748,CD003748 v. 8.14 Cilostazol for intermittent claudication
294,CD003751,CD003751 v. 10.2 Communication skills training for healthcare professionals working with people who have cancer
295,CD003753,CD003753 v. 9.3 Albendazole alone or in combination with microfilaricidal drugs for lymphatic filariasis
296,CD003756,CD003756 v. 6.2 Intermittent preventive treatment for malaria in children living in areas with seasonal transmission
297,CD003793,CD003793 v. 9.0 Pulmonary rehabilitation for chronic obstructive pulmonary disease
298,CD003794,CD003794 v. 15.0 Combined corticosteroid and long-acting beta2-agonist in one inhaler versus placebo for chronic obst
299,CD003804,CD003804 v. 8.0 Effect of the treatment of Type 2 diabetes mellitus on the development of cognitive impairment and d
300,CD003809,CD003809 v. 6.0 Fluorides for preventing early tooth decay (demineralised lesions) during fixed brace treatment
301,CD003811,CD003811 v. 6.163 Antibiotics to prevent complications following tooth extractions
302,CD003824,CD003824 v. 8.0 Blood pressure-lowering efficacy of monotherapy with thiazide diuretics for primary hypertension
303,CD003842,CD003842 v. 7.0 Single double or multiple-injection techniques for non-ultrasound guided axillary brachial plexus b
304,CD003843,CD003843 v. 12.0 Bispectral index for improving intraoperative awareness and early postoperative recovery in adults
305,CD003860,CD003860 v. 10.0 Hypofractionated radiation therapy for early breast cancer
306,CD003861,CD003861 v. 13.209 Water for wound cleansing
307,CD003864,CD003864 v. 6.0 Interventions for improving oral health in people after stroke
308,CD003868,CD003868 v. 20.0 Oral morphine for cancer pain
309,CD003869,CD003869 v. 13.0 Whole brain radiotherapy for the treatment of newly diagnosed multiple brain metastases
310,CD003870,CD003870 v. 16.27 Oxycodone for cancer-related pain
311,CD003871,CD003871 v. 10.0 Interventions to reduce Staphylococcus aureus in the management of eczema
312,CD003877,CD003877 v. 7.2 Sedation of children undergoing dental treatment
313,CD003893,CD003893 v. 8.0 Methyldopa for primary hypertension
314,CD003898,CD003898 v. 9.0 Inhaled magnesium sulfate in the treatment of acute asthma
315,CD003907,CD003907 v. 7.0 Strength training and aerobic exercise training for muscle disease
316,CD003909,CD003909 v. 14.4 Individual psychological therapy in the outpatient treatment of adults with anorexia nervosa
317,CD003919,CD003919 v. 3.135 Laser trabeculoplasty for open-angle glaucoma and ocular hypertension
318,CD003935,CD003935 v. 13.18 Repeat doses of prenatal corticosteroids for women at risk of preterm birth for improving neonatal h
319,CD003942,CD003942 v. 6.0 Professional structural and organisational interventions in primary care for reducing medication er
320,CD003944,CD003944 v. 6.0 Antidepressants for treating depression in dementia
321,CD003965,CD003965 v. 14.0 Immunosuppressive agents for treating IgA nephropathy
322,CD003968,CD003968 v. 20.0 Psychological therapies for the management of chronic and recurrent pain in children and adolescents
323,CD003976,CD003976 v. 6.0 Pharmacological interventions for pain relief during orthodontic treatment
